Sample_ID	Tissue_ID
GSM3913398	N0156-T
GSM3913399	N0453-T
GSM3913400	N0466-T
GSM3913401	N0474-T
GSM3913402	N0531-T
GSM3913403	N0555-T
GSM3913404	N0565-T
GSM3913405	N0897-T
GSM3913406	N1037-T
GSM3913407	N1063-T
GSM3913408	N1067-T
GSM3913409	N1495-T
GSM3913410	N1664-T
GSM3913411	N1691-T
GSM3913412	N2224-T
GSM3913413	N2297-T
GSM3913414	N2347-T
GSM3913415	N2688-T
GSM3913416	N2759-T
GSM3913417	N2804-T
GSM3913418	N3111-T
GSM3913419	N3138-T
GSM3913420	N3143-T
GSM3913421	N3451-T
GSM3913422	N3467-T
GSM3913423	N3522-T
GSM3913424	N3635-T
GSM3913425	N3740-T
GSM3913426	N3800-T
GSM3913427	T0156-T
GSM3913428	T0453-T
GSM3913429	T0466-T
GSM3913430	T0474-T
GSM3913431	T0531-T
GSM3913432	T0555-T
GSM3913433	T0565-T
GSM3913434	T0982-T
GSM3913435	T1037-T
GSM3913436	T1067-T
GSM3913437	T1495-T
GSM3913438	T1664-T
GSM3913439	T2224-T
GSM3913440	T2226-T
GSM3913441	T2297-T
GSM3913442	T2347-T
GSM3913443	T2644-T
GSM3913444	T2759-T
GSM3913445	T2771-T
GSM3913446	T2804-T
GSM3913447	T3138-T
GSM3913448	T3143-T
GSM3913449	T3196-T
GSM3913450	T3282-T
GSM3913451	T3357-T
GSM3913452	T3371-T
GSM3913453	T3403-T
GSM3913454	T3451-T
GSM3913455	T3515-T
GSM3913456	T3560-T
GSM3913457	T3614-T
GSM3913458	T3635-T
GSM3913459	T3660-T
GSM3913460	T3740-T
GSM3913461	T3750-T
GSM3913462	T3800-T
